event_id,event_type,event_date,window_start,window_end,source_name,source_url_or_note,generated_without_return_data,created_at_utc
month_end_2017_06,month_end,2017-06-30,2017-06-23,2017-07-10,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2017_q2,quarter_end,2017-06-30,2017-06-23,2017-07-10,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_07,month_end,2017-07-31,2017-07-24,2017-08-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_08,month_end,2017-08-31,2017-08-24,2017-09-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_09,month_end,2017-09-29,2017-09-22,2017-10-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2017_q3,quarter_end,2017-09-29,2017-09-22,2017-10-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_10,month_end,2017-10-31,2017-10-24,2017-11-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_11,month_end,2017-11-30,2017-11-22,2017-12-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2017_12,month_end,2017-12-29,2017-12-21,2018-01-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2017_q4,quarter_end,2017-12-29,2017-12-21,2018-01-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_01,month_end,2018-01-31,2018-01-24,2018-02-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_02,month_end,2018-02-28,2018-02-21,2018-03-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_03,month_end,2018-03-29,2018-03-22,2018-04-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2018_q1,quarter_end,2018-03-29,2018-03-22,2018-04-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_04,month_end,2018-04-30,2018-04-23,2018-05-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_05,month_end,2018-05-31,2018-05-23,2018-06-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_06,month_end,2018-06-29,2018-06-22,2018-07-09,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2018_q2,quarter_end,2018-06-29,2018-06-22,2018-07-09,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_07,month_end,2018-07-31,2018-07-24,2018-08-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_08,month_end,2018-08-31,2018-08-24,2018-09-10,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_09,month_end,2018-09-28,2018-09-21,2018-10-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2018_q3,quarter_end,2018-09-28,2018-09-21,2018-10-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_10,month_end,2018-10-31,2018-10-24,2018-11-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_11,month_end,2018-11-30,2018-11-23,2018-12-10,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2018_12,month_end,2018-12-31,2018-12-21,2019-01-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2018_q4,quarter_end,2018-12-31,2018-12-21,2019-01-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_01,month_end,2019-01-31,2019-01-24,2019-02-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_02,month_end,2019-02-28,2019-02-21,2019-03-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_03,month_end,2019-03-29,2019-03-22,2019-04-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2019_q1,quarter_end,2019-03-29,2019-03-22,2019-04-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_04,month_end,2019-04-30,2019-04-23,2019-05-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_05,month_end,2019-05-31,2019-05-23,2019-06-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_06,month_end,2019-06-28,2019-06-21,2019-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2019_q2,quarter_end,2019-06-28,2019-06-21,2019-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_07,month_end,2019-07-31,2019-07-24,2019-08-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_08,month_end,2019-08-30,2019-08-23,2019-09-09,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_09,month_end,2019-09-30,2019-09-23,2019-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2019_q3,quarter_end,2019-09-30,2019-09-23,2019-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_10,month_end,2019-10-31,2019-10-24,2019-11-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_11,month_end,2019-11-29,2019-11-21,2019-12-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2019_12,month_end,2019-12-31,2019-12-23,2020-01-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2019_q4,quarter_end,2019-12-31,2019-12-23,2020-01-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_01,month_end,2020-01-31,2020-01-24,2020-02-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_02,month_end,2020-02-28,2020-02-21,2020-03-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_03,month_end,2020-03-31,2020-03-24,2020-04-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2020_q1,quarter_end,2020-03-31,2020-03-24,2020-04-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_04,month_end,2020-04-30,2020-04-23,2020-05-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_05,month_end,2020-05-29,2020-05-21,2020-06-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_06,month_end,2020-06-30,2020-06-23,2020-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2020_q2,quarter_end,2020-06-30,2020-06-23,2020-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_07,month_end,2020-07-31,2020-07-24,2020-08-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_08,month_end,2020-08-31,2020-08-24,2020-09-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_09,month_end,2020-09-30,2020-09-23,2020-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2020_q3,quarter_end,2020-09-30,2020-09-23,2020-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_10,month_end,2020-10-30,2020-10-23,2020-11-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_11,month_end,2020-11-30,2020-11-20,2020-12-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2020_12,month_end,2020-12-31,2020-12-23,2021-01-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2020_q4,quarter_end,2020-12-31,2020-12-23,2021-01-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_01,month_end,2021-01-29,2021-01-22,2021-02-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_02,month_end,2021-02-26,2021-02-19,2021-03-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_03,month_end,2021-03-31,2021-03-24,2021-04-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2021_q1,quarter_end,2021-03-31,2021-03-24,2021-04-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_04,month_end,2021-04-30,2021-04-23,2021-05-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_05,month_end,2021-05-28,2021-05-21,2021-06-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_06,month_end,2021-06-30,2021-06-23,2021-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2021_q2,quarter_end,2021-06-30,2021-06-23,2021-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_07,month_end,2021-07-30,2021-07-23,2021-08-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_08,month_end,2021-08-31,2021-08-24,2021-09-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_09,month_end,2021-09-30,2021-09-23,2021-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2021_q3,quarter_end,2021-09-30,2021-09-23,2021-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_10,month_end,2021-10-29,2021-10-22,2021-11-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_11,month_end,2021-11-30,2021-11-22,2021-12-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2021_12,month_end,2021-12-31,2021-12-23,2022-01-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2021_q4,quarter_end,2021-12-31,2021-12-23,2022-01-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_01,month_end,2022-01-31,2022-01-24,2022-02-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_02,month_end,2022-02-28,2022-02-18,2022-03-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_03,month_end,2022-03-31,2022-03-24,2022-04-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2022_q1,quarter_end,2022-03-31,2022-03-24,2022-04-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_04,month_end,2022-04-29,2022-04-22,2022-05-06,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_05,month_end,2022-05-31,2022-05-23,2022-06-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_06,month_end,2022-06-30,2022-06-23,2022-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2022_q2,quarter_end,2022-06-30,2022-06-23,2022-07-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_07,month_end,2022-07-29,2022-07-22,2022-08-05,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_08,month_end,2022-08-31,2022-08-24,2022-09-08,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_09,month_end,2022-09-30,2022-09-23,2022-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
quarter_end_2022_q3,quarter_end,2022-09-30,2022-09-23,2022-10-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_10,month_end,2022-10-31,2022-10-24,2022-11-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_11,month_end,2022-11-30,2022-11-22,2022-12-07,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
month_end_2022_12,month_end,2022-12-30,2022-12-22,2023-01-09,deterministic_trading_calendar,Generated from trading dates in data/cache/SPY_2015-01-01_2025-12-31.csv; price and return columns were not used.,true,2026-08-14T00:00:00Z
